ID,In NGC_2420?,,,,Alt Prob
,,,,,
Gaia DR3 865401520341888640,0.039325843,,,,0.9606741573033708
,,,,,
Gaia DR3 865401722204841472,0.9550561797752809,,,,0.04494382
,,,,,
Gaia DR3 865401726501364352,0.398876404,,,,0.601123596
,,,,,
Gaia DR3 865401520342933120,0.9662921348314607,,,,0.033707865168539325
,,,,,
Gaia DR3 865401726500319616,0.005617978,,,,0.9943820224719101
,,,,,
Gaia DR3 865401726501775360,0.028089887640449437,,,,0.9719101123595506
,,,,,
Gaia DR3 865401520341880832,0.949438202,,,,0.050561798
,,,,,
Gaia DR3 865401520342932480,0.9943820224719101,,,,0.005617978
,,,,,
Gaia DR3 865401726501365504,1,,,,0
,,,,,
Gaia DR3 865401726500318592,1,,,,0
,,,,,
Gaia DR3 865401722204856832,1,,,,0
,,,,,
Gaia DR3 865401520342932224,1,,,,0
,,,,,
Gaia DR3 865401520341895168,0.9662921348314607,,,,0.033707865168539325
,,,,,
Gaia DR3 865401722208178304,0.9943820224719101,,,,0.005617978
,,,,,
Gaia DR3 865401726501364096,1,,,,0
,,,,,
Gaia DR3 865401726501362560,1,,,,0
,,,,,
Gaia DR3 865401692140595328,0.005617978,,,,0.9943820224719101
,,,,,
Gaia DR3 865401722205122816,0.8876404494382022,,,,0.11235955056179775
,,,,,
Gaia DR3 865401520342937856,1,,,,0
,,,,,
Gaia DR3 865401520342932736,1,,,,0
,,,,,
Gaia DR3 865401726501365632,0.9719101123595506,,,,0.028089887640449437
,,,,,
Gaia DR3 865401485983201920,1,,,,0
,,,,,
Gaia DR3 865401520342935552,1,,,,0
,,,,,
Gaia DR3 865401520342934400,1,,,,0
,,,,,
Gaia DR3 865401726501363840,1,,,,0
,,,,,
Gaia DR3 865401692141632256,0.9831460674157303,,,,0.016853932584269662
,,,,,
Gaia DR3 865401520342930560,1,,,,0
,,,,,
Gaia DR3 865401520342937344,0.9943820224719101,,,,0.005617978
,,,,,
Gaia DR3 865401485983202816,1,,,,0
,,,,,
Gaia DR3 865401485983203200,0.9887640449438202,,,,0.011235955056179775
,,,,,
Gaia DR3 865401726501361792,1,,,,0
,,,,,
Gaia DR3 865401726500321152,0.033707865168539325,,,,0.9662921348314607
,,,,,
Gaia DR3 865401726500317184,0.011235955056179775,,,,0.9887640449438202
,,,,,
Gaia DR3 865401692141632384,1,,,,0
,,,,,
Gaia DR3 865401520342929792,0.9887640449438202,,,,0.011235955056179775
,,,,,
Gaia DR3 865401520342934656,0.9775280898876404,,,,0.02247191
,,,,,
Gaia DR3 865401485983202944,1,,,,0
,,,,,
Gaia DR3 865401520342929024,0.9887640449438202,,,,0.011235955056179775
,,,,,
Gaia DR3 865401520342932608,0.9775280898876404,,,,0.02247191
,,,,,
Gaia DR3 865401692141631232,0.9943820224719101,,,,0.005617978
,,,,,
Gaia DR3 865401485983204096,1,,,,0
,,,,,
Gaia DR3 865401726501360512,1,,,,0
,,,,,
Gaia DR3 865401520342936832,1,,,,0
,,,,,
Gaia DR3 865401692140605184,0.9382022471910112,,,,0.061797753
,,,,,
Gaia DR3 865401485982172288,0.9943820224719101,,,,0.005617978
,,,,,
Gaia DR3 865401692140606848,0.8539325842696629,,,,0.14606741573033707
,,,,,
Gaia DR3 865401726501368448,0.9943820224719101,,,,0.005617978
,,,,,
Gaia DR3 865401726501367296,0.005617978,,,,0.9943820224719101
,,,,,
Gaia DR3 865401829580572672,0.12921348314606743,,,,0.8707865168539326
,,,,,
Gaia DR3 865401481686952960,0.02247191,,,,0.9775280898876404
,,,,,
Gaia DR3 865401623422141696,1,,,,0
,,,,,
Gaia DR3 865401623422142336,1,,,,0
,,,,,
Gaia DR3 865401722204854912,0.9831460674157303,,,,0.016853932584269662
,,,,,
Gaia DR3 865401485983201792,1,,,,0
,,,,,
Gaia DR3 865401829579513344,0.8764044943820225,,,,0.12359550561797752
,,,,,
Gaia DR3 865401726501368704,0.949438202,,,,0.050561798
,,,,,
Gaia DR3 865401623421080448,0.9887640449438202,,,,0.011235955056179775
,,,,,
Gaia DR3 865401516046407936,1,,,,0
,,,,,
Gaia DR3 865401726500329856,0.9606741573033708,,,,0.039325843
,,,,,
Gaia DR3 865401722204859264,1,,,,0
,,,,,
Gaia DR3 865401692141633664,1,,,,0
,,,,,
Gaia DR3 865401485982180608,0.061797753,,,,0.9382022471910112
,,,,,
Gaia DR3 865401726500318976,0.9943820224719101,,,,0.005617978
,,,,,
Gaia DR3 865401829580572288,0.011235955056179775,,,,0.9887640449438202
,,,,,
Gaia DR3 865401726501369088,0.028089887640449437,,,,0.9719101123595506
,,,,,
Gaia DR3 865401726501359616,1,,,,0
,,,,,
Gaia DR3 865401485983205504,1,,,,0
,,,,,
Gaia DR3 865401829580571264,0.011235955056179775,,,,0.9887640449438202
,,,,,
Gaia DR3 865401520341872896,0.3146067415730337,,,,0.6853932584269663
,,,,,
Gaia DR3 865401726501358080,0.9662921348314607,,,,0.033707865168539325
,,,,,
Gaia DR3 865401619125632000,0.005617978,,,,0.9943820224719101
,,,,,
Gaia DR3 865401692141636096,0.9887640449438202,,,,0.011235955056179775
,,,,,
Gaia DR3 865401451623459712,0.9325842696629213,,,,0.06741573
,,,,,
Gaia DR3 865401829579514752,1,,,,0
,,,,,
Gaia DR3 865401687848439808,0.9887640449438202,,,,0.011235955056179775
,,,,,
Gaia DR3 865401520342927744,0.9943820224719101,,,,0.005617978
