ID,In NGC_6253?,,,,Alt Prob
,,,,,
Gaia DR3 5935945798696494464,0,,,,1
,,,,,
Gaia DR3 5935945798735309952,0.6370967741935484,,,,0.3629032258064516
,,,,,
Gaia DR3 5935945798694995712,0,,,,1
,,,,,
Gaia DR3 5935945798735557120,0.024193548387096774,,,,0.9758064516129032
,,,,,
Gaia DR3 5935945833054729472,0.088709677,,,,0.9112903225806451
,,,,,
Gaia DR3 5935945828748219264,0.024193548387096774,,,,0.9758064516129032
,,,,,
Gaia DR3 5935945833095047168,0,,,,1
,,,,,
Gaia DR3 5935945794391061888,0.008064516,,,,0.9919354838709677
,,,,,
Gaia DR3 5935945833055772544,0,,,,1
,,,,,
Gaia DR3 5935945833054737664,0.016129032258064516,,,,0.9838709677419355
,,,,,
Gaia DR3 5935945794388491520,0,,,,1
,,,,,
Gaia DR3 5935945798695833216,0.008064516,,,,0.9919354838709677
,,,,,
Gaia DR3 5935945833054715520,0,,,,1
,,,,,
Gaia DR3 5935945798696032896,0,,,,1
,,,,,
Gaia DR3 5935945833055771648,0,,,,1
,,,,,
Gaia DR3 5935945833054743936,0,,,,1
,,,,,
Gaia DR3 5935945798735313408,0.9516129032258065,,,,0.048387097
,,,,,
Gaia DR3 5935945798696809856,0,,,,1
,,,,,
Gaia DR3 5935945798694983168,0,,,,1
,,,,,
Gaia DR3 5935945828748205824,0.008064516,,,,0.9919354838709677
,,,,,
Gaia DR3 5935945798696036352,0.016129032258064516,,,,0.9838709677419355
,,,,,
Gaia DR3 5935945798735308160,0.9838709677419355,,,,0.016129032258064516
,,,,,
Gaia DR3 5935945798695001856,0,,,,1
,,,,,
Gaia DR3 5935945798744367872,0,,,,1
,,,,,
Gaia DR3 5935945833054754688,0,,,,1
,,,,,
Gaia DR3 5935945798694965760,0,,,,1
,,,,,
Gaia DR3 5935945794380138368,0.717741935,,,,0.28225806451612906
,,,,,
Gaia DR3 5935945794410219136,0.032258065,,,,0.967741935
,,,,,
Gaia DR3 5935945833054733824,0,,,,1
,,,,,
Gaia DR3 5935945798735317760,0.6451612903225806,,,,0.3548387096774194
,,,,,
Gaia DR3 5935945833095048448,0.7016129032258065,,,,0.29838709677419356
,,,,,
Gaia DR3 5935945798735304704,0.8064516129032258,,,,0.1935483870967742
,,,,,
Gaia DR3 5935945798695833088,0,,,,1
,,,,,
Gaia DR3 5935945833095054080,0.9919354838709677,,,,0.008064516
,,,,,
Gaia DR3 5935945833054707328,0,,,,1
,,,,,
Gaia DR3 5935945828765134336,0.008064516,,,,0.9919354838709677
,,,,,
Gaia DR3 5935945833095051264,0,,,,1
,,,,,
Gaia DR3 5935945798694973184,0,,,,1
,,,,,
Gaia DR3 5935945798695013888,0.3467741935483871,,,,0.6532258064516129
,,,,,
Gaia DR3 5935945798735317504,0.9758064516129032,,,,0.024193548387096774
,,,,,
Gaia DR3 5935945798696498048,0,,,,1
,,,,,
Gaia DR3 5935945833095042688,0,,,,1
,,,,,
Gaia DR3 5935945833055571712,0.056451612903225805,,,,0.9435483870967742
,,,,,
Gaia DR3 5935945833055772800,0,,,,1
,,,,,
Gaia DR3 5935945833055769984,0.008064516,,,,0.9919354838709677
,,,,,
Gaia DR3 5935945798696033664,0,,,,1
,,,,,
Gaia DR3 5935945828748917760,0.6532258064516129,,,,0.3467741935483871
,,,,,
Gaia DR3 5935945798695837312,0.032258065,,,,0.967741935
,,,,,
Gaia DR3 5935945833054726016,0,,,,1
,,,,,
Gaia DR3 5935945798695022464,0.008064516,,,,0.9919354838709677
,,,,,
Gaia DR3 5935945833095053312,0,,,,1
,,,,,
Gaia DR3 5935945798694953344,0,,,,1
,,,,,
Gaia DR3 5935945833095042176,0.5967741935483871,,,,0.4032258064516129
,,,,,
Gaia DR3 5935945798695832960,0,,,,1
,,,,,
Gaia DR3 5935945833055574912,0.008064516,,,,0.9919354838709677
,,,,,
Gaia DR3 5935945833054766720,0.008064516,,,,0.9919354838709677
,,,,,
Gaia DR3 5935945798696032256,0,,,,1
,,,,,
Gaia DR3 5935945798735320192,0.16129032258064516,,,,0.8387096774193549
,,,,,
Gaia DR3 5935945798696034560,0.024193548387096774,,,,0.9758064516129032
,,,,,
Gaia DR3 5935945828748232704,0,,,,1
,,,,,
Gaia DR3 5935945833055747584,0.008064516,,,,0.9919354838709677
,,,,,
Gaia DR3 5935945833054771200,0,,,,1
,,,,,
Gaia DR3 5935945798735318016,0,,,,1
,,,,,
Gaia DR3 5935945828748221056,0.016129032258064516,,,,0.9838709677419355
,,,,,
Gaia DR3 5935945798695028864,0.008064516,,,,0.9919354838709677
,,,,,
Gaia DR3 5935945833095039616,0,,,,1
,,,,,
Gaia DR3 5935945798696038912,0,,,,1
,,,,,
Gaia DR3 5935945833095040512,0.9112903225806451,,,,0.088709677
,,,,,
Gaia DR3 5935945798735304448,0.9596774193548387,,,,0.040322581
,,,,,
Gaia DR3 5935945833054746112,0,,,,1
,,,,,
Gaia DR3 5935945833055771008,0,,,,1
,,,,,
Gaia DR3 5935945798694943488,0.008064516,,,,0.9919354838709677
,,,,,
Gaia DR3 5935945833055774848,0.008064516,,,,0.9919354838709677
,,,,,
Gaia DR3 5935945798695014272,0,,,,1
,,,,,
Gaia DR3 5935945798694967168,0.008064516,,,,0.9919354838709677
,,,,,
Gaia DR3 5935945798735321856,0.7419354838709677,,,,0.25806451612903225
,,,,,
Gaia DR3 5935945626896262656,0.008064516,,,,0.9919354838709677
,,,,,
