ID,In NGC_663?,,,,Alt Prob
,,,,,
Gaia DR3 511217660754604288,0,,,,1
,,,,,
Gaia DR3 511217248445663872,0.002923977,,,,0.997076023
,,,,,
Gaia DR3 511217282805383296,0.00877193,,,,0.99122807
,,,,,
Gaia DR3 511264286931267840,0,,,,1
,,,,,
Gaia DR3 511217248437828992,0,,,,1
,,,,,
Gaia DR3 511217141063080960,0,,,,1
,,,,,
Gaia DR3 511217729474039936,0,,,,1
,,,,,
Gaia DR3 511217660762489344,0.86208577,,,,0.13791423
,,,,,
Gaia DR3 511217351524837120,0.002923977,,,,0.997076023
,,,,,
Gaia DR3 511217656459686784,0.002923977,,,,0.997076023
,,,,,
Gaia DR3 511264252570069120,0.918128655,,,,0.081871345
,,,,,
Gaia DR3 511217347221607168,0.005847953,,,,0.994152047
,,,,,
Gaia DR3 511217660754580480,0,,,,1
,,,,,
Gaia DR3 511217076646958848,0.020467836,,,,0.979532164
,,,,,
Gaia DR3 511217660762486912,0.832846004,,,,0.167153996
,,,,,
Gaia DR3 511264252571530240,0,,,,1
,,,,,
Gaia DR3 511217076646970240,0.964912281,,,,0.035087719
,,,,,
Gaia DR3 511264252571529088,0.98245614,,,,0.01754386
,,,,,
Gaia DR3 511217179719095808,0,,,,1
,,,,,
Gaia DR3 511217175422837120,0.00877193,,,,0.99122807
,,,,,
Gaia DR3 511264286925068032,0,,,,1
,,,,,
Gaia DR3 511217141063080832,0.005847953,,,,0.994152047
,,,,,
Gaia DR3 511264248264464640,0,,,,1
,,,,,
Gaia DR3 511217145366459136,0,,,,1
,,,,,
Gaia DR3 511217179719096960,0,,,,1
,,,,,
Gaia DR3 511264149490855808,0.985380117,,,,0.014619883
,,,,,
Gaia DR3 511217076646957824,0.014619883,,,,0.985380117
,,,,,
Gaia DR3 511264149486125824,0,,,,1
,,,,,
Gaia DR3 511217141063074944,0,,,,1
,,,,,
Gaia DR3 511217179726196352,0.953216374,,,,0.046783626
,,,,,
Gaia DR3 511264286925460480,0,,,,1
,,,,,
Gaia DR3 511217072352294016,0,,,,1
,,,,,
Gaia DR3 511217141065756544,0,,,,1
,,,,,
Gaia DR3 511217725176130048,0.976608187,,,,0.023391813
,,,,,
Gaia DR3 511264149486136960,0.005847953,,,,0.994152047
,,,,,
Gaia DR3 511264286925063424,0.002923977,,,,0.997076023
,,,,,
Gaia DR3 511264115131117568,0.029239766,,,,0.970760234
,,,,,
Gaia DR3 511264248264914560,0,,,,1
,,,,,
Gaia DR3 511217656459232384,0.005847953,,,,0.994152047
,,,,,
Gaia DR3 511217145366464128,0,,,,1
,,,,,
Gaia DR3 511264115126402048,0,,,,1
,,,,,
Gaia DR3 511217729481958400,0.801169591,,,,0.198830409
,,,,,
Gaia DR3 511217450301255936,0,,,,1
,,,,,
Gaia DR3 511264286925061504,0,,,,1
,,,,,
Gaia DR3 511217175422820352,0.005847953,,,,0.994152047
,,,,,
Gaia DR3 511217076647250688,0.957958708,,,,0.042041292
,,,,,
Gaia DR3 511264286929801728,0.941812865,,,,0.058187135
,,,,,
Gaia DR3 511217072343625728,0,,,,1
,,,,,
Gaia DR3 511217037983870720,0.002923977,,,,0.997076023
,,,,,
Gaia DR3 511217042287238272,0,,,,1
