ID,In NGC_2632?,,,,Alt Prob
,,,,,
Gaia DR3 661295358651282816,0,,,,1
,,,,,
Gaia DR3 661295255573771520,0,,,,1
,,,,,
Gaia DR3 661295324291154816,0.948051948,,,,0.051948052
,,,,,
Gaia DR3 661295427370764416,0,,,,1
,,,,,
Gaia DR3 661295466028469120,0.2857142857142857,,,,0.7142857142857143
,,,,,
Gaia DR3 661295328589425664,0,,,,1
,,,,,
Gaia DR3 661295255572062720,0,,,,1
,,,,,
Gaia DR3 661295461730107392,0.15584415584415584,,,,0.8441558441558441
,,,,,
Gaia DR3 661292300634555520,0,,,,1
,,,,,
Gaia DR3 661295466029938560,0,,,,1
,,,,,
Gaia DR3 661296943498686464,0,,,,1
,,,,,
Gaia DR3 661295637826966144,0,,,,1
,,,,,
Gaia DR3 661295672184175104,0,,,,1
,,,,,
Gaia DR3 661295225510212992,0,,,,1
,,,,,
Gaia DR3 661295633529203584,0,,,,1
,,,,,
Gaia DR3 661295289931800064,0,,,,1
,,,,,
Gaia DR3 661295500388118400,0,,,,1
,,,,,
Gaia DR3 661295637826964864,0,,,,1
,,,,,
Gaia DR3 661297149655553152,0,,,,1
,,,,,
Gaia DR3 661295633529214080,0,,,,1
,,,,,
Gaia DR3 661295672186702336,0.961038961,,,,0.038961039
,,,,,
Gaia DR3 661292266274808448,0,,,,1
,,,,,
Gaia DR3 661297149653958656,0,,,,1
,,,,,
Gaia DR3 661295500385001088,0,,,,1
,,,,,
Gaia DR3 661295530449988608,0,,,,1
,,,,,
Gaia DR3 661292270572713472,0,,,,1
,,,,,
Gaia DR3 661295496090242688,0,,,,1
,,,,,
Gaia DR3 661295496090239616,0,,,,1
,,,,,
Gaia DR3 661295500385001472,0,,,,1
,,,,,
Gaia DR3 661294843255183744,0,,,,1
,,,,,
Gaia DR3 661295603467229696,0,,,,1
,,,,,
Gaia DR3 661293949902023040,0,,,,1
,,,,,
Gaia DR3 661295702248275328,0,,,,1
,,,,,
Gaia DR3 661294911974675840,0,,,,1
,,,,,
Gaia DR3 661294847553092352,0,,,,1
,,,,,
Gaia DR3 661292167490863360,0,,,,1
,,,,,
Gaia DR3 661297184012637824,0,,,,1
,,,,,
Gaia DR3 661292025756623104,0,,,,1
,,,,,
Gaia DR3 661296909134729600,0,,,,1
,,,,,
Gaia DR3 661296359381472000,0.012987012987012988,,,,0.987012987
,,,,,
Gaia DR3 661293885480406528,0,,,,1
,,,,,
Gaia DR3 661294881910237056,0,,,,1
,,,,,
Gaia DR3 661297179717927936,0,,,,1
,,,,,
Gaia DR3 661293640666189696,0,,,,1
,,,,,
Gaia DR3 661293954201445120,0,,,,1
,,,,,
Gaia DR3 661293881182538112,0,,,,1
,,,,,
Gaia DR3 661297184015287808,0,,,,1
,,,,,
Gaia DR3 661294057276443008,0,,,,1
,,,,,
Gaia DR3 661297969991454592,0,,,,1
,,,,,
Gaia DR3 661297080936070272,0,,,,1
,,,,,
Gaia DR3 661295186852595968,0,,,,1
,,,,,
Gaia DR3 661296355083718912,0,,,,1
,,,,,
Gaia DR3 661298004351199104,0.16883116883116883,,,,0.8311688311688312
,,,,,
Gaia DR3 661297080936069632,0.922077922,,,,0.077922078
,,,,,
Gaia DR3 661296492522705280,0,,,,1
,,,,,
Gaia DR3 661291922677803648,0,,,,1
,,,,,
Gaia DR3 661291961332464896,0,,,,1
,,,,,
Gaia DR3 661297012216592256,0,,,,1
,,,,,
Gaia DR3 661291961335067008,0,,,,1
,,,,,
Gaia DR3 661296561242178432,0,,,,1
,,,,,
Gaia DR3 661293984261758208,0,,,,1
,,,,,
Gaia DR3 661293984261770112,0,,,,1
,,,,,
Gaia DR3 661293640664360192,0,,,,1
,,,,,
Gaia DR3 661291922677805568,0,,,,1
,,,,,
Gaia DR3 661297282797143424,0,,,,1
,,,,,
Gaia DR3 661297974289171712,0,,,,1
,,,,,
Gaia DR3 661296531180162304,0,,,,1
,,,,,
Gaia DR3 661297115295806592,0.8441558441558441,,,,0.15584415584415584
,,,,,
Gaia DR3 661295156790633344,0,,,,1
,,,,,
Gaia DR3 661294052980833792,0.935064935,,,,0.064935065
,,,,,
Gaia DR3 661294705815866240,0.935064935,,,,0.064935065
,,,,,
Gaia DR3 661298043008648320,0,,,,1
,,,,,
Gaia DR3 661295088071157376,0,,,,1
,,,,,
Gaia DR3 661294052981256320,0,,,,1
,,,,,
Gaia DR3 661295191150371072,0,,,,1
,,,,,
Gaia DR3 661291579079991936,0,,,,1
,,,,,
Gaia DR3 661296565539900544,0.8831168831168831,,,,0.11688311688311688
,,,,,
Gaia DR3 661294774535697408,0,,,,1
,,,,,
Gaia DR3 661291583375358848,0,,,,1
,,,,,
Gaia DR3 661291583375355648,0,,,,1
,,,,,
Gaia DR3 661297321454333312,0.922077922,,,,0.077922078
,,,,,
Gaia DR3 661296531180163200,0,,,,1
,,,,,
Gaia DR3 661297321451553024,0,,,,1
,,,,,
Gaia DR3 661291205418211200,0,,,,1
,,,,,
Gaia DR3 661298043010233216,0,,,,1
,,,,,
Gaia DR3 661291338561861760,0,,,,1
,,,,,
Gaia DR3 661291755174057728,0,,,,1
,,,,,
Gaia DR3 661294675755979648,0,,,,1
,,,,,
Gaia DR3 661296015781078912,0,,,,1
,,,,,
Gaia DR3 661298073070697856,0,,,,1
,,,,,
Gaia DR3 661291205420822528,0,,,,1
,,,,,
Gaia DR3 661293812462666240,0.935064935,,,,0.064935065
,,,,,
Gaia DR3 661291682159626112,0,,,,1
,,,,,
Gaia DR3 661291239780652032,0,,,,1
,,,,,
Gaia DR3 661293713681712896,0,,,,1
,,,,,
Gaia DR3 661291480298735232,0,,,,1
,,,,,
Gaia DR3 661297493252924416,0.935064935,,,,0.064935065
,,,,,
Gaia DR3 661295977126582016,0,,,,1
,,,,,
Gaia DR3 661290793103965696,0,,,,1
,,,,,
Gaia DR3 661298180447598720,0,,,,1
,,,,,
Gaia DR3 661290793103965312,0,,,,1
,,,,,
Gaia DR3 661293816760923904,0,,,,1
,,,,,
Gaia DR3 661296595601900800,0,,,,1
,,,,,
Gaia DR3 661298077365352192,0,,,,1
,,,,,
Gaia DR3 661294400876471808,0,,,,1
,,,,,
Gaia DR3 661295981424353920,0,,,,1
,,,,,
